Title,Genre,Premiere,Runtime,IMDB Score,Language
Enter the Anime,Documentary,5-Aug-2019,58,2.5,English/Japanese
Dark Forces,Thriller,21-Aug-2020,81,2.6,Spanish
The App,Science fiction/Drama,26-Dec-2019,79,2.6,Italian
The Open House,Horror thriller,19-Jan-2018,94,3.2,English
Kaali Khuhi,Mystery,30-Oct-2020,90,3.4,Hindi
Drive,Action,1-Nov-2019,147,3.5,Hindi
Leyla Everlasting,Comedy,4-Dec-2020,112,3.7,Turkish
The Last Days of American Crime,Heist film/Thriller,5-Jun-2020,149,3.7,English
Paradox,Musical/Western/Fantasy,23-Mar-2018,73,3.9,English
Sardar Ka Grandson,Comedy,18-May-2021,139,4.1,Hindi
Searching for Sheela,Documentary,22-Apr-2021,58,4.1,English
The Call,Drama,27-Nov-2020,112,4.1,Korean
Whipped,Romantic comedy,18-Sep-2020,97,4.1,Indonesian
All Because of You,Action comedy,1-Oct-2020,101,4.2,Malay
Mercy,Thriller,22-Nov-2016,90,4.2,English
After the Raid,Documentary,19-Dec-2019,25,4.3,Spanish
Ghost Stories,Horror anthology,1-Jan-2020,144,4.3,Hindi
The Last Thing He Wanted,Political thriller,21-Feb-2020,115,4.3,English
What Happened to Mr. Cha?,Comedy,1-Jan-2021,102,4.3,Korean
Death Note,Horror thriller,25-Aug-2017,100,4.4,English
"Hello Privilege. It's Me, Chelsea",Documentary,13-Sep-2019,64,4.4,English
Secret Obsession,Thriller,18-Jul-2019,97,4.4,English
Sextuplets,Comedy,16-Aug-2019,99,4.4,English
The Girl on the Train,Thriller,26-Feb-2021,120,4.4,Hindi
Thunder Force,Superhero-Comedy,9-Apr-2021,105,4.4,English
Fatal Affair,Thriller,16-Jul-2020,89,4.5,English
Just Say Yes,Romantic comedy,2-Apr-2021,97,4.5,Dutch
Seriously Single,Comedy,31-Jul-2020,107,4.5,English
The Misadventures of Hedi and Cokeman,Comedy,10-Feb-2021,99,4.5,French
5 Star Christmas,Comedy,7-Dec-2018,95,4.6,Italian
After Maria,Documentary,24-May-2019,37,4.6,English/Spanish
I Am the Pretty Thing That Lives in the House,Horror,28-Oct-2016,89,4.6,English
Paris Is Us,Romance drama,22-Feb-2019,83,4.6,French
Porta dos Fundos: The First Temptation of Christ,Comedy,3-Dec-2019,46,4.6,Portuguese
Rattlesnake,Horror,25-Oct-2019,85,4.6,English
The Players,Comedy,15-Jul-2020,88,4.6,Italian
We Are One,Documentary,14-Jul-2020,86,4.6,French
Finding Agnes,Drama,30-Nov-2020,105,4.7,Filipino
IO,Science fiction/Drama,18-Jan-2019,95,4.7,English
Sentinelle,Action,5-Mar-2021,80,4.7,French
Sol Levante,Anime / Short,2-Apr-2020,4,4.7,English
The Binding,Drama,2-Oct-2020,93,4.7,Italian
We Can Be Heroes,Superhero,25-Dec-2020,100,4.7,English
Christmas Crossfire,Thriller,4-Dec-2020,106,4.8,German
Coin Heist,Heist,6-Jan-2017,97,4.8,English
Mrs. Serial Killer,Thriller,1-May-2020,106,4.8,Hindi
Nobody Sleeps in the Woods Tonight,Horror,28-Oct-2020,103,4.8,Polish
Take the 10,Comedy,20-Jan-2017,80,4.8,English
The Main Event,Comedy,10-Apr-2020,101,4.8,English
The Ridiculous 6,Western,11-Dec-2015,119,4.8,English
Earth and Blood,Action,17-Apr-2020,80,4.9,French
Fearless,Animation/Superhero,14-Aug-2020,89,4.9,English
Holiday Rush,Family film,28-Nov-2019,94,4.9,English
The Day of the Lord,Drama,30-Oct-2020,93,4.9,Spanish
Airplane Mode,Comedy,23-Jan-2020,96,5,Portuguese
How It Ends,Action-thriller,13-Jul-2018,113,5,English
Love Like the Falling Rain,Drama,15-Oct-2020,86,5,Indonesian
Rebirth,Thriller,15-Jul-2016,100,5,English
Squared Love,Romantic comedy,11-Feb-2021,102,5,Polish
Cadaver,Horror,22-Oct-2020,86,5.1,Norwegian
Clinical,Thriller,13-Jan-2017,104,5.1,English
Coffee & Kareem,Action comedy,3-Apr-2020,88,5.1,English
Dude,Teen comedy-drama,20-Apr-2018,97,5.1,English
Geez & Ann,Romantic drama,25-Feb-2021,105,5.1,Indonesian
The Larva Island Movie,Animation,23-Jul-2020,90,5.1,English
#REALITYHIGH,Comedy,8-Sep-2017,99,5.2,English
American Factory: A Conversation with the Obamas ,Aftershow / Interview,21-Aug-2019,10,5.2,English
Desperados,Romantic comedy,3-Jul-2020,106,5.2,English
Dolly Parton's Christmas on the Square,Christmas musical,22-Nov-2020,98,5.2,English
Father of the Year,Comedy,20-Jul-2018,94,5.2,English
Firebrand,Drama,22-Feb-2019,112,5.2,Marathi
Ghost Lab,Horror,26-May-2021,117,5.2,Thai
Girlfriend's Day,Comedy,14-Feb-2017,70,5.2,English
Handsome: A Netflix Mystery Movie,Comedy,5-May-2017,81,5.2,English
Hubie Halloween,Comedy,7-Oct-2020,103,5.2,English
Ibiza,Comedy,25-May-2018,94,5.2,English
Rim of the World,Science fiction adventure,24-May-2019,98,5.2,English
Sandy Wexler,Comedy,14-Apr-2017,131,5.2,English
See You Yesterday,Science fiction,17-May-2019,87,5.2,English
Still Laugh-In: The Stars Celebrate,Variety show,14-May-2019,60,5.2,English
"Strip Down, Rise Up",Documentary,5-Feb-2021,112,5.2,English
Tall Girl,Comedy-drama,13-Sep-2019,102,5.2,English
The Beast,Drama,27-Nov-2020,99,5.2,Italian
The Week Of,Comedy,27-Apr-2018,116,5.2,English
A Christmas Prince: The Royal Wedding,Romantic comedy,30-Nov-2018,92,5.3,English
Back to School,Comedy,30-Aug-2019,83,5.3,French
Dangerous Lies,Thriller,30-Apr-2020,97,5.3,English
Gunjan Saxena: The Kargil Girl,Drama,12-Aug-2020,112,5.3,Hindi
Intuition,Thriller,28-May-2020,116,5.3,Spanish
The Most Assassinated Woman in the World,Thriller,7-Sep-2018,102,5.3,French
Things Heard & Seen,Horror,29-Apr-2021,121,5.3,English
"To Each, Her Own",Romantic comedy,24-Jun-2018,95,5.3,French
Who Would You Take to a Deserted Island?,Drama,12-Apr-2019,93,5.3,Spanish
XOXO,Drama,26-Aug-2016,92,5.3,English
A Babysitter's Guide to Monster Hunting,Comedy/Fantasy/Family,15-Oct-2020,98,5.4,English
A Christmas Prince: The Royal Baby,Romantic comedy,5-Dec-2019,85,5.4,English
Despite Everything,Comedy,3-May-2019,78,5.4,Spanish
Dolly Kitty and Those Twinkling Stars,Drama,18-Sep-2020,120,5.4,Hindi
Freaks: You're One of Us,Supernatural drama,2-Sep-2020,92,5.4,German
"Game Over, Man!",Action/Comedy,23-Mar-2018,101,5.4,English
Guilty,Thriller,6-Mar-2020,119,5.4,Hindi
In the Tall Grass,Horror,4-Oct-2019,101,5.4,English
Madame Claude,Drama,2-Apr-2021,112,5.4,French
Naked,Comedy,11-Aug-2017,96,5.4,English
Outside the Wire,Action/Science fiction,15-Jan-2021,114,5.4,English
The Princess Switch: Switched Again,Romantic comedy,19-Nov-2020,97,5.4,English
Under the Riccione Sun,Romantic teenage drama,1-Jul-2020,101,5.4,Italian
A Very Murray Christmas,Comedy / Musical,4-Dec-2015,56,5.5,English
Been So Long,Musical,26-Oct-2018,100,5.5,English
Dead Kids,Thriller,1-Dec-2019,94,5.5,Filipino
Get the Grift,Comedy,28-Apr-2021,94,5.5,Portuguese
Ghosts of Sugar Land,Documentary,October 16. 2019,21,5.5,English
House Arrest,Comedy,15-Nov-2019,104,5.5,Hindi
Kevin Hart's Guide to Black History,Variety show,8-Feb-2019,63,5.5,English
Love Wedding Repeat,Romantic comedy,10-Apr-2020,100,5.5,English
Mute,Science fiction/Mystery,23-Feb-2018,126,5.5,English
Òlòt?ré,Crime drama,2-Oct-2020,106,5.5,English
Red Dot,Thriller,11-Feb-2021,86,5.5,Swedish
Ride or Die,Psychological thriller drama,15-Apr-2021,142,5.5,Japanese
Step Sisters,Comedy,19-Jan-2018,108,5.5,English
The Cloverfield Paradox,Science fiction,4-Feb-2018,102,5.5,English
The Knight Before Christmas,Romantic comedy,21-Nov-2019,92,5.5,English
The Legacy of a Whitetail Deer Hunter,Adventure/Comedy,6-Jul-2018,83,5.5,English
The Package,Black comedy,10-Aug-2018,94,5.5,English
Unicorn Store,Comedy,5-Apr-2019,92,5.5,English
Wine Country,Comedy,10-May-2019,103,5.5,English
Bomb Scared,Black comedy,12-Oct-2017,89,5.6,Spanish/Basque
Brahman Naman,Comedy,7-Jul-2016,95,5.6,English
Double Dad,Comedy-drama,15-Jan-2021,103,5.6,Portuguese
Falling Inn Love,Romantic comedy,29-Aug-2019,97,5.6,English
Hold the Dark,Thriller,28-Sep-2018,125,5.6,English
"Love, Guaranteed",Romantic comedy,3-Sep-2020,91,5.6,English
One-Way to Tomorrow,Romance,19-Jun-2020,90,5.6,Turkish
Sarah Cooper: Everything's Fine,Variety show,27-Oct-2020,49,5.6,English
The Last Laugh,Comedy-drama,11-Jan-2019,98,5.6,English
The Last Paradiso,Romantic drama,5-Feb-2021,107,5.6,Italian
The Midnight Sky,Science fiction,23-Dec-2020,118,5.6,English
The Paramedic,Thriller,16-Sep-2020,94,5.6,Spanish
The Sleepover,Comedy,21-Aug-2020,103,5.6,English
Vampires vs. the Bronx,Horror comedy,2-Oct-2020,86,5.6,English
Why Did You Kill Me?,Documentary,14-Apr-2021,83,5.6,English
A Week Away,Christian musical,26-Mar-2021,97,5.7,English
Caught by a Wave,Romantic teen drama,25-Mar-2021,99,5.7,Italian
Christmas Inheritance,Romantic drama,15-Dec-2017,104,5.7,English
Dad Wanted,Family,11-Sep-2020,102,5.7,Spanish
El Camino Christmas,Dark comedy,8-Dec-2017,89,5.7,English
Eli,Horror,18-Oct-2019,98,5.7,English
Ginny Weds Sunny,Romantic comedy,9-Oct-2020,125,5.7,Hindi
Good Sam,Drama,16-May-2019,89,5.7,English
Lionheart,Comedy,4-Jan-2019,94,5.7,English
Little Evil,Comedy horror,1-Sep-2017,94,5.7,English
One Take,Documentary,18-Jun-2020,85,5.7,Thai
"Out of Many, One",Documentary,12-Dec-2018,34,5.7,English
Point Blank,Action,12-Jul-2019,86,5.7,English
Prime Time,Thriller,14-Apr-2021,91,5.7,Polish
The Do-Over,Action comedy,27-May-2016,108,5.7,English
The Holiday Calendar,Romantic comedy,2-Nov-2018,95,5.7,English
The Woman in the Window,Psychological thriller,14-May-2021,100,5.7,English
The Wrong Missy,Comedy,13-May-2020,90,5.7,English
Velvet Buzzsaw,Thriller,1-Feb-2019,112,5.7,English
Yes Day,Comedy,12-Mar-2021,86,5.7,English
15-Aug,Comedy-drama,29-Mar-2019,124,5.8,Marathi
A California Christmas,Romantic comedy,14-Dec-2020,107,5.8,English
A Christmas Prince,Romantic comedy,17-Nov-2017,92,5.8,English
All Day and a Night,Drama,1-May-2020,121,5.8,English
American Son,Drama,1-Nov-2019,90,5.8,English
Barry,Biopic,16-Dec-2016,104,5.8,English
Candy Jar,Comedy,27-Apr-2018,92,5.8,English
Choked: Paisa Bolta Hai,Drama,5-Jun-2020,114,5.8,Hindi
Class of '83,Drama,21-Aug-2020,98,5.8,Hindi
Extinction,Science fiction/Thriller,27-Jul-2018,95,5.8,English
Happy Anniversary,Romantic comedy,30-Mar-2018,78,5.8,English
I Am All Girls,Thriller,14-May-2021,107,5.8,English
Let It Snow,Romantic comedy,8-Nov-2019,92,5.8,English
Mascots,Mockumentary,13-Oct-2016,95,5.8,English
Operation Christmas Drop,Romantic comedy,5-Nov-2020,96,5.8,English
Rajma Chawal,Comedy-drama,30-Nov-2018,118,5.8,Hindi
Rich in Love,Romantic comedy,30-Apr-2020,105,5.8,Portuguese
Rising High,Satire,17-Apr-2020,94,5.8,German
Rodney King,One-man show,28-Apr-2017,52,5.8,English
Sierra Burgess Is a Loser,Romantic comedy-drama,7-Sep-2018,105,5.8,English
Small Crimes,Dark comedy,28-Apr-2017,95,5.8,English
Special Correspondents,Satire,29-Apr-2016,100,5.8,English
TAU,Science fiction/Thriller,29-Jun-2018,97,5.8,English
The After Party,Comedy,24-Aug-2018,89,5.8,English
The Babysitter: Killer Queen,Comedy/Horror,10-Sep-2020,102,5.8,English
The Claus Family,Fantasy,7-Dec-2020,96,5.8,Dutch
The Kissing Booth 2,Romantic comedy,24-Jul-2020,131,5.8,English
The Perfect Date,Romantic comedy,12-Apr-2019,89,5.8,English
What We Wanted,Drama,11-Nov-2020,93,5.8,German
You've Got This,Romantic comedy,2-Oct-2020,111,5.8,Spanish
6 Balloons,Drama,6-Apr-2018,75,5.9,English
A Fall from Grace,Thriller,17-Jan-2020,120,5.9,English
Amateur,Sports-drama,6-Apr-2018,96,5.9,English
Army of the Dead,Zombie/Heist,21-May-2021,148,5.9,English
Cam,Psychological horror,16-Nov-2018,94,5.9,English
Earthquake Bird,Mystery,15-Nov-2019,107,5.9,English
"Frankenstein's Monster's Monster, Frankenstein",Mockumentary,16-Jul-2019,32,5.9,English
Horse Girl,Drama,7-Feb-2020,104,5.9,English
Notes from Dunblane: Lesson from a School Shooting,Documentary,28-Sep-2018,23,5.9,English
Maska,Romantic comedy,27-Mar-2020,111,5.9,Hindi
The Decline,Thriller,27-Mar-2020,83,5.9,French
The Minimalists: Less Is Now,Documentary,1-Jan-2021,53,5.9,English
The Polka King,Comedy-drama,12-Jan-2018,95,5.9,English
The Prom,Musical,11-Dec-2020,132,5.9,English
True Memoirs of an International Assassin,Action comedy,11-Nov-2016,98,5.9,English
Ultras,Sports film,20-Mar-2020,108,5.9,Italian
Come Sunday,Biopic,13-Apr-2018,106,6,English
Forgive Us Our Debts,Drama,4-May-2018,104,6,Italian
iBoy,Science fiction/Thriller,27-Jan-2017,90,6,English
Lovefucked,Drama,9-Aug-2019,106,6,Hindi
Juanita,Drama,8-Mar-2019,90,6,English
Murder Mystery,Comedy mystery,14-Jun-2019,97,6,English
Project Power,Superhero,14-Aug-2020,113,6,English
Rebecca,Romantic thriller,21-Oct-2020,123,6,English
The Christmas Chronicles: Part Two,Christmas comedy,25-Nov-2020,115,6,English
The Kissing Booth,Romantic comedy,11-May-2018,105,6,English
The Princess Switch,Romantic comedy,16-Nov-2018,101,6,English
To All the Boys: P.S. I Still Love You,Romantic comedy,12-Feb-2020,102,6,English
War Machine,War-Comedy,26-May-2017,122,6,English
6 Underground,Action,13-Dec-2019,128,6.1,English
Between Two Ferns: The Movie,Comedy,20-Sep-2019,82,6.1,English
Burning Sands,Drama,10-Mar-2017,102,6.1,English
Casting JonBenet,Documentary,28-Apr-2017,80,6.1,English
Deidra & Laney Rob a Train,Drama,17-Mar-2017,94,6.1,English
Finding 'Ohana,Family,29-Jan-2021,123,6.1,English
Holidate,Romantic comedy/Holiday,28-Oct-2020,104,6.1,English
Holiday in the Wild,Adventure-romance,1-Nov-2019,85,6.1,English
Hot Girls Wanted,Documentary,29-May-2015,84,6.1,English
Like Father,Comedy,3-Aug-2018,103,6.1,English
Lost Girls,Crime drama,13-Mar-2020,95,6.1,English
Otherhood,Comedy,2-Aug-2019,100,6.1,English
Pee-wee's Big Holiday,Adventure,18-Mar-2016,89,6.1,English
Rogue City,Crime drama,30-Oct-2020,116,6.1,French
Sergio,Biopic,17-Apr-2020,118,6.1,English
Stuck Apart,Drama,8-Jan-2021,96,6.1,Turkish
Tersanjung the Movie,Drama,1-Apr-2021,114,6.1,Indonesian
The Killer,Western,10-Nov-2017,99,6.1,Portuguese
The Lovebirds,Romantic comedy,22-May-2020,87,6.1,English
The Most Hated Woman in America,Biopic,24-Mar-2017,92,6.1,English
The Perfection,Horror-thriller,24-May-2019,90,6.1,English
Tribhanga – Tedhi Medhi Crazy,Drama,15-Jan-2021,95,6.1,Hindi
Unknown Origins,Thriller,28-Aug-2020,96,6.1,Spanish
Work It,Dance comedy,7-Aug-2020,93,6.1,English
Alien Xmas,Stop Motion,20-Nov-2020,42,6.2,English
Baggio: The Divine Ponytail,Biopic,26-May-2021,92,6.2,Italian
Below Zero,Drama,29-Jan-2021,106,6.2,Spanish
Citation,Drama,6-Nov-2020,151,6.2,English
Crazy Awesome Teachers,Comedy-drama,17-Aug-2020,101,6.2,Indonesian
